obs_date,rows,source_families,local_same_day_rtofs,local_24h_rtofs,s3_current_pattern_available,s3_status_code,s3_example_url,s3_error
20230511,67,{'WOD': 67},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230511/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230510,65,{'WOD': 65},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230510/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230512,59,{'WOD': 59},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230512/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230509,57,{'WOD': 57},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230509/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230513,55,{'WOD': 55},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230513/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230505,54,{'WOD': 54},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230505/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230514,54,{'WOD': 54},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230514/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230506,53,{'WOD': 53},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230506/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230515,53,{'WOD': 53},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230515/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230507,51,{'WOD': 51},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230507/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230508,50,{'WOD': 50},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230508/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230501,45,{'WOD': 45},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230501/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230504,44,{'WOD': 44},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230504/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230503,43,{'WOD': 43},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230503/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230502,42,{'WOD': 42},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230502/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230829,42,{'WOD': 42},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230829/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230516,28,{'WOD': 28},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230516/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230830,22,{'WOD': 22},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230830/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230828,15,{'WOD': 15},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230828/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230901,14,{'WOD': 14},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230901/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
20230903,14,{'WOD': 14},False,False,False,404,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20230903/rtofs_glo_3dz_f024_6hrly_hvr_US_east.nc,
