rtofs_date,wod_source,source_family,instrument,cast_id,cruise_id,platform_id,data_type,lat,lon,obs_time,n_depth_levels,max_depth_m,model_sst,sst_gradient,model_salinity,kinetic_energy,model_mld,observed_mld,target_delta_mld,obs_date,rtofs_valid_time,rtofs_source,forecast_lead_hours,obs_model_time_delta_hours
20240312,WOD_XBT_2024,WOD,xbt,22493045,US056075,BREMEN EXPRESS (Cont.s.;c.s.5LJY8;b.2008;flag Germany by 02.2023;IMO9343728)\0,depth_profile,25.77,-80.001,2024-03-12 15:23:59+00:00,1559,988.4,25.1009,0.862063,36.286,0.827972,21.1586,20.9471,-0.2115,20240312,2024-03-12T06:00:00+00:00,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20240312/rtofs_glo_3dz_f006_6hrly_hvr_US_east.nc,6,9.4
20240405,WOD_XBT_2024,WOD,xbt,22670873,US052988,F. G. WALTON SMITH (R/V;c.s.WCZ6292/WDL9255;b.1999;IMO8964501;operated by RSMAS),depth_profile,26.995,-80.002,2024-04-05 09:27:59+00:00,308,203.9,24.8707,0.051407,36.2817,0.679053,21.775,31.3,9.525,20240405,2024-04-05T06:00:00+00:00,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20240405/rtofs_glo_3dz_f006_6hrly_hvr_US_east.nc,6,3.466
20240502,WOD_XBT_2024,WOD,xbt,22671198,US056202,AIRPLANE,depth_profile,27.051,-88.204,2024-05-02 16:00:00+00:00,827,892.0,25.1489,0.146481,36.2632,0.378605,40.6991,16.0,-24.6991,20240502,2024-05-02T06:00:00+00:00,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20240502/rtofs_glo_3dz_f006_6hrly_hvr_US_east.nc,6,10.0
20240502,WOD_XBT_2024,WOD,xbt,22671199,US056202,AIRPLANE,depth_profile,27.587,-88.414,2024-05-02 16:14:00+00:00,581,705.0,24.7595,0.144494,36.0361,0.209241,35.0,26.0,-9.0,20240502,2024-05-02T06:00:00+00:00,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20240502/rtofs_glo_3dz_f006_6hrly_hvr_US_east.nc,6,10.233
20240502,WOD_XBT_2024,WOD,xbt,22671200,US056202,AIRPLANE,depth_profile,27.066,-88.27,2024-05-02 16:27:00+00:00,314,379.0,25.1488,0.086426,36.1731,0.308225,34.1756,22.0,-12.1756,20240502,2024-05-02T06:00:00+00:00,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20240502/rtofs_glo_3dz_f006_6hrly_hvr_US_east.nc,6,10.45
20240502,WOD_XBT_2024,WOD,xbt,22671201,US056202,AIRPLANE,depth_profile,27.368,-88.388,2024-05-02 16:31:59+00:00,805,898.0,25.0338,0.111329,36.1392,0.213161,23.8095,11.5,-12.3095,20240502,2024-05-02T06:00:00+00:00,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20240502/rtofs_glo_3dz_f006_6hrly_hvr_US_east.nc,6,10.533
20240502,WOD_XBT_2024,WOD,xbt,22671202,US056202,AIRPLANE,depth_profile,27.591,-88.416,2024-05-02 17:04:00+00:00,685,878.0,24.7595,0.144494,36.0361,0.209241,35.0,12.0,-23.0,20240502,2024-05-02T06:00:00+00:00,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20240502/rtofs_glo_3dz_f006_6hrly_hvr_US_east.nc,6,11.067
20240601,WOD_XBT_2024,WOD,xbt,22671680,US056204,EL COQUI (Cargo ship;c.s.WDJ4838;built 2018;IMO9721968;MMSI367781630),depth_profile,30.028,-80.821,2024-06-01 02:46:59+00:00,628,411.3,26.8341,0.362301,36.2803,0.115962,15.5962,17.4429,1.8467,20240601,2024-06-01T06:00:00+00:00,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20240601/rtofs_glo_3dz_f006_6hrly_hvr_US_east.nc,6,3.217
20240601,WOD_XBT_2024,WOD,xbt,22671681,US056204,EL COQUI (Cargo ship;c.s.WDJ4838;built 2018;IMO9721968;MMSI367781630),depth_profile,29.844,-80.584,2024-06-01 03:37:00+00:00,299,198.0,26.4835,0.235821,36.294,0.161317,14.0885,20.16,6.0715,20240601,2024-06-01T06:00:00+00:00,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20240601/rtofs_glo_3dz_f006_6hrly_hvr_US_east.nc,6,2.383
20240601,WOD_XBT_2024,WOD,xbt,22671682,US056204,EL COQUI (Cargo ship;c.s.WDJ4838;built 2018;IMO9721968;MMSI367781630),depth_profile,29.936,-80.702,2024-06-01 03:12:00+00:00,485,319.2,26.7382,0.151751,36.2828,0.139089,15.2938,23.4,8.1062,20240601,2024-06-01T06:00:00+00:00,https://noaa-nws-rtofs-pds.s3.amazonaws.com/rtofs.20240601/rtofs_glo_3dz_f006_6hrly_hvr_US_east.nc,6,2.8
