provider,source_key,year,instrument,url,status,remote_size_mb,cached,gom_profiles,usable_profiles,notes
ERDDAP_GLIDER,Nori-20241008T0000,,glider,https://gliders.ioos.us/erddap/tabledap/Nori-20241008T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=Nori-20241008T0000; institution=University of Southern Mississippi; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,instrument_pressure,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,platform,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag"
ERDDAP_GLIDER,ori-20240924T0000,,glider,https://gliders.ioos.us/erddap/tabledap/ori-20240924T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=ori-20240924T0000; institution=University of Southern Mississippi; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,instrument_pressure,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,platform,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag"
ERDDAP_GLIDER,Nori-20241101T0000,,glider,https://gliders.ioos.us/erddap/tabledap/Nori-20241101T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=Nori-20241101T0000; institution=University of Southern Mississippi; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,instrument_pressure,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,platform,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag"
ERDDAP_GLIDER,ori-20240731T0000,,glider,https://gliders.ioos.us/erddap/tabledap/ori-20240731T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=ori-20240731T0000; institution=University of Southern Mississippi; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,instrument_pressure,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,platform,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag"
ERDDAP_GLIDER,Nori-20240816T0000,,glider,https://gliders.ioos.us/erddap/tabledap/Nori-20240816T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=Nori-20240816T0000; institution=University of Southern Mississippi; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,instrument_pressure,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,platform,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag"
ERDDAP_GLIDER,Sverdrup-20170902T1930,,glider,https://gliders.ioos.us/erddap/tabledap/Sverdrup-20170902T1930.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=Sverdrup-20170902T1930; institution=TAMU_GERG; variables=conductivity,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_monotonic_pressure_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,Stommel-20170727T1845,,glider,https://gliders.ioos.us/erddap/tabledap/Stommel-20170727T1845.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=Stommel-20170727T1845; institution=TAMU_GERG; variables=conductivity,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_monotonic_pressure_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,mote-dora-20211012T1200,,glider,https://gliders.ioos.us/erddap/tabledap/mote-dora-20211012T1200.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-dora-20211012T1200; institution=Texas A&M University, GCOOS-RA; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,sedna-20241001T0000,,glider,https://gliders.ioos.us/erddap/tabledap/sedna-20241001T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=sedna-20241001T0000; institution=University of Louisiana at Lafayette; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,Stommel-20200813T1200,,glider,https://gliders.ioos.us/erddap/tabledap/Stommel-20200813T1200.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=Stommel-20200813T1200; institution=Texas A&M University, GCOOS-RA; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
