provider,source_key,year,instrument,url,status,remote_size_mb,cached,gom_profiles,usable_profiles,notes
ERDDAP_GLIDER,ioos-gliderdac-Murphy-20150809T1355,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-Murphy-20150809T1355.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - Deep-Pelagic Nekton Dynamics of the Gulf of Mexico (DEEPEND). - Murphy-20150809T1355; institution=NOVA/USF; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,platform,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag"
ERDDAP_GLIDER,ioos-gliderdac-Murphy-20170426T1610,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-Murphy-20170426T1610.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - Deep-Pelagic Nekton Dynamics of the Gulf of Mexico (DEEPEND). - Murphy-20170426T1610; institution=NOVA/USF; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag"
ERDDAP_GLIDER,ioos-gliderdac-murphy-20160810T2233,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-murphy-20160810T2233.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - Deep-Pelagic Nekton Dynamics of the Gulf of Mexico (DEEPEND). - murphy-20160810T2233; institution=NOVA/USF; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,platform,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag"
ERDDAP_GLIDER,axiom-netcdf-harvest-socan-RB-GOMECC-1184127540-1186098120,,glider,https://erddap.secoora.org/erddap/tabledap/axiom-netcdf-harvest-socan-RB-GOMECC-1184127540-1186098120.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - GOMECC - Temperature, salinity, nutrients, freons, oxygen, currents (ADCP), underway and other measur; institution=Unknown; variables=alkali,alkali_flag,ammonia,ammonia_flag,bottle_depth,bottle_flag,bottle_number,carbon,carbon_flag,cast,cfc_11_flag,crs,ctd_oxygen,ctd_salinity,density,doc_flag,latitude,longitude,nitrate,nitrate_flag,nitrite,nitrite_flag,oxygen,oxygen_flag,pco2,pco2_flag,phosphate,platform,potential_temperature,precise_time"
ERDDAP_GLIDER,axiom-netcdf-harvest-socan-RB-12-03-GOMECC2-1343098800-1344860760,,glider,https://erddap.secoora.org/erddap/tabledap/axiom-netcdf-harvest-socan-RB-12-03-GOMECC2-1343098800-1344860760.html,metadata_only,,False,,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - GOMECC2 - GOMECC-2 CTD profiles, 1-dbar bins, 93 files, one per station: Dissolved oxygen, temperatur; institution=AOML; variables=crs,dynamic_height,latitude,longitude,oxygen,platform,potential_temperature,profile,salinity,specific_weight_gamma,temperature,time,z"
ERDDAP_GLIDER,ioos-gliderdac-usf-bass-20191022T1200,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-usf-bass-20191022T1200.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - Red Tide Initiation, Evaluation and Progression Mapping - usf-bass-20191022T1200; institution=Texas A&M University, GCOOS-RA; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_monotonic_pressure_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,ioos-gliderdac-usf-bass-20181129T1500,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-usf-bass-20181129T1500.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - Red Tide Initiation, Evaluation and Progression Mapping - usf-bass-20181129T1500; institution=Texas A&M University, GCOOS-RA; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_monotonic_pressure_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag"
ERDDAP_GLIDER,ioos-gliderdac-sam-20180824T0000,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-sam-20180824T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - USF College of Marine Science Center for Prediction of Red Tide 2018 - sam-20180824T0000; institution=University of South Florida College of Marine Science Center for Ocean Technolog; variables=conductivity,crs,density,depth,instrument_altimeter,instrument_altitude,instrument_ctd,instrument_dissolved_oxygen,instrument_fluorometer,instrument_gps,instrument_irradiance,instrument_radiance,lat_uv,latitude,lon_uv,longitude,m_altitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag"
ERDDAP_GLIDER,ioos-gliderdac-Sam-20160729T1659,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-Sam-20160729T1659.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - Demonstration of Fisheries Assessment Application for Underwater Gliders. - Sam-20160729T1659; institution=USF; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag"
ERDDAP_GLIDER,ioos-gliderdac-Sam-20170103T1836,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-Sam-20170103T1836.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - Demonstration of Fisheries Assessment Application for Underwater Gliders. - Sam-20170103T1836; institution=USF; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag"
